rule,order,xi,eta,weight
1,1,0.3333333333333330,0.3333333333333330,1.0000000000000000
2,3,0.6666666666666670,0.1666666666666670,0.3333333333333330
2,3,0.1666666666666670,0.1666666666666670,0.3333333333333330
2,3,0.1666666666666670,0.6666666666666670,0.3333333333333330
3,4,0.3333333333333330,0.3333333333333330,-0.5625000000000000
3,4,0.6000000000000000,0.2000000000000000,0.5208333333333330
3,4,0.2000000000000000,0.2000000000000000,0.5208333333333330
3,4,0.2000000000000000,0.6000000000000000,0.5208333333333330
4,6,0.1081030181680700,0.4459484909159650,0.2233815896780110
4,6,0.4459484909159650,0.4459484909159650,0.2233815896780110
4,6,0.4459484909159650,0.1081030181680700,0.2233815896780110
4,6,0.8168475729804590,0.0915762135097710,0.1099517436553220
4,6,0.0915762135097710,0.0915762135097710,0.1099517436553220
4,6,0.0915762135097710,0.8168475729804590,0.1099517436553220
5,7,0.3333333333333330,0.3333333333333330,0.2250000000000000
5,7,0.0597158717897700,0.4701420641051150,0.1323941527885060
5,7,0.4701420641051150,0.4701420641051150,0.1323941527885060
5,7,0.4701420641051150,0.0597158717897700,0.1323941527885060
5,7,0.7974269853530870,0.1012865073234560,0.1259391805448270
5,7,0.1012865073234560,0.1012865073234560,0.1259391805448270
5,7,0.1012865073234560,0.7974269853530870,0.1259391805448270
6,12,0.5014265096581790,0.2492867451709100,0.1167862757263790
6,12,0.2492867451709100,0.2492867451709100,0.1167862757263790
6,12,0.2492867451709100,0.5014265096581790,0.1167862757263790
6,12,0.8738219710169960,0.0630890144915020,0.0508449063702070
6,12,0.0630890144915020,0.0630890144915020,0.0508449063702070
6,12,0.0630890144915020,0.8738219710169960,0.0508449063702070
6,12,0.0531450498448170,0.3103524510337840,0.0828510756183740
6,12,0.3103524510337840,0.6365024991213990,0.0828510756183740
6,12,0.6365024991213990,0.0531450498448170,0.0828510756183740
6,12,0.3103524510337840,0.0531450498448170,0.0828510756183740
6,12,0.6365024991213990,0.3103524510337840,0.0828510756183740
6,12,0.0531450498448170,0.6365024991213990,0.0828510756183740
7,13,0.3333333333333330,0.3333333333333330,-0.1495700444676820
7,13,0.4793080678419200,0.2603459660790400,0.1756152574332080
7,13,0.2603459660790400,0.2603459660790400,0.1756152574332080
7,13,0.2603459660790400,0.4793080678419200,0.1756152574332080
7,13,0.8697397941955680,0.0651301029022160,0.0533472356088380
7,13,0.0651301029022160,0.0651301029022160,0.0533472356088380
7,13,0.0651301029022160,0.8697397941955680,0.0533472356088380
7,13,0.0486903154253160,0.3128654960048740,0.0771137608902570
7,13,0.3128654960048740,0.6384441885698100,0.0771137608902570
7,13,0.6384441885698100,0.0486903154253160,0.0771137608902570
7,13,0.3128654960048740,0.0486903154253160,0.0771137608902570
7,13,0.6384441885698100,0.3128654960048740,0.0771137608902570
7,13,0.0486903154253160,0.6384441885698100,0.0771137608902570
8,16,0.3333333333333330,0.3333333333333330,0.1443156076777870
8,16,0.0814148234145540,0.4592925882927230,0.0950916342672850
8,16,0.4592925882927230,0.4592925882927230,0.0950916342672850
8,16,0.4592925882927230,0.0814148234145540,0.0950916342672850
8,16,0.6588613844964800,0.1705693077517600,0.1032173705347180
8,16,0.1705693077517600,0.1705693077517600,0.1032173705347180
8,16,0.1705693077517600,0.6588613844964800,0.1032173705347180
8,16,0.8989055433659380,0.0505472283170310,0.0324584976231980
8,16,0.0505472283170310,0.0505472283170310,0.0324584976231980
8,16,0.0505472283170310,0.8989055433659380,0.0324584976231980
8,16,0.0083947774099580,0.2631128296346380,0.0272303141744350
8,16,0.2631128296346380,0.7284923929554040,0.0272303141744350
8,16,0.7284923929554040,0.0083947774099580,0.0272303141744350
8,16,0.2631128296346380,0.0083947774099580,0.0272303141744350
8,16,0.7284923929554040,0.2631128296346380,0.0272303141744350
8,16,0.0083947774099580,0.7284923929554040,0.0272303141744350
